accuracy,loss,val_accuracy,val_loss
0.701171875,0.6876257658004761,0.8203125,0.39295634627342224
0.924609363079071,0.2118908166885376,0.8843749761581421,0.2818494439125061
0.965624988079071,0.1069205179810524,0.8765624761581421,0.3217562139034271
0.9820312261581421,0.0644303411245346,0.8734375238418579,0.34333857893943787
0.991015613079071,0.031413037329912186,0.875,0.417978435754776
0.9984375238418579,0.01452555786818266,0.879687488079071,0.44953665137290955
1.0,0.005043447017669678,0.8843749761581421,0.4237857758998871
1.0,0.0018692428711801767,0.879687488079071,0.4486979842185974
1.0,0.0010729716159403324,0.879687488079071,0.4741526246070862
1.0,0.000785228970926255,0.8843749761581421,0.47342777252197266
1.0,0.0005967087927274406,0.8812500238418579,0.48433932662010193
1.0,0.0004786010249517858,0.879687488079071,0.5063439011573792
1.0,0.00038580241380259395,0.879687488079071,0.5091317892074585
1.0,0.00032064405968412757,0.8843749761581421,0.5144834518432617
1.0,0.0002688332460820675,0.885937511920929,0.5189223885536194
1.0,0.0002227404183940962,0.8812500238418579,0.5357796549797058
1.0,0.00019222205446567386,0.8828125,0.5416244268417358
1.0,0.0001626335142645985,0.8828125,0.5530282258987427
1.0,0.000140815376653336,0.8828125,0.5581109523773193
1.0,0.00012006624456262216,0.8828125,0.5689762234687805
